satellites_used,processed_at,timestamp_iso,timestamp,lon,sog,cog,id,lat,ele,quality,datetime,distance_m,time_diff_s,speed_kmh
7.0,2025-05-23T16:52:35.179216,2025-04-22T12:41:46,1745325706.0,2.764111,50.36,357.2,vehicle_01,41.80902,65.77,6.0,2025-04-22 12:41:46,0.0,0.0,0.0
7.0,2025-05-23T16:52:35.185022,2025-04-22T12:41:53,1745325713.0,2.764114,47.33,0.8,vehicle_01,41.81076,24.92,1.0,2025-04-22 12:41:53,193.4793321269874,7.0,99.50365652245067
7.0,2025-05-23T16:52:35.190425,2025-04-22T12:41:59,1745325719.0,2.764173,47.38,1.49,vehicle_01,41.81207,24.33,1.0,2025-04-22 12:41:59,145.74740379071753,6.0,87.44844227443052
7.0,2025-05-23T16:52:35.195781,2025-04-22T12:42:07,1745325727.0,2.764269,46.3,1.54,vehicle_01,41.81381,24.71,1.0,2025-04-22 12:42:07,193.6426869909537,8.0,87.13920914592917
6.0,2025-05-23T16:52:35.201108,2025-04-22T12:42:13,1745325733.0,2.764269,45.81,0.06,vehicle_01,41.81509,24.56,1.0,2025-04-22 12:42:13,142.32950610517753,6.0,85.39770366310653
6.0,2025-05-23T16:52:35.206269,2025-04-22T12:42:20,1745325740.0,2.764286,46.22,0.36,vehicle_01,41.81659,24.63,1.0,2025-04-22 12:42:20,166.79833982189632,7.0,85.78200333697525
6.0,2025-05-23T16:52:35.211309,2025-04-22T12:42:28,1745325748.0,2.764027,46.68,352.4,vehicle_01,41.81821,24.93,1.0,2025-04-22 12:42:28,181.4099811970515,8.0,81.63449153867317
7.0,2025-05-23T16:52:35.216751,2025-04-22T12:42:34,1745325754.0,2.763702,47.13,347.54,vehicle_01,41.81948,25.21,1.0,2025-04-22 12:42:34,143.7628248471189,6.0,86.25769490827135
7.0,2025-05-23T16:52:35.222019,2025-04-22T12:42:41,1745325761.0,2.763288,46.46,350.68,vehicle_01,41.82095,25.58,1.0,2025-04-22 12:42:41,167.0179841352043,7.0,85.89496326953365
7.0,2025-05-23T16:52:35.227759,2025-04-22T12:42:48,1745325768.0,2.763198,45.95,1.62,vehicle_01,41.82243,25.88,1.0,2025-04-22 12:42:48,164.73739106444458,7.0,84.72208683314292
7.0,2025-05-23T16:52:35.233242,2025-04-22T12:42:55,1745325775.0,2.763337,46.24,5.28,vehicle_01,41.82391,26.12,1.0,2025-04-22 12:42:55,164.9710648962752,7.0,84.84226194665582
7.0,2025-05-23T16:52:35.238614,2025-04-22T12:43:02,1745325782.0,2.763412,47.33,358.32,vehicle_01,41.82544,26.4,1.0,2025-04-22 12:43:02,170.24170592381952,7.0,87.55287733225003
8.0,2025-05-23T16:52:35.243836,2025-04-22T12:43:09,1745325789.0,2.76313,46.44,347.88,vehicle_01,41.82693,27.0,1.0,2025-04-22 12:43:09,167.32003182879166,7.0,86.05030208337857
8.0,2025-05-23T16:52:35.248870,2025-04-22T12:43:16,1745325796.0,2.762516,47.95,340.63,vehicle_01,41.82839,27.7,1.0,2025-04-22 12:43:16,170.12928420699765,7.0,87.49506044931307
8.0,2025-05-23T16:52:35.254099,2025-04-22T12:43:23,1745325803.0,2.761635,47.3,329.86,vehicle_01,41.82977,28.44,1.0,2025-04-22 12:43:23,169.92636525206004,7.0,87.39070212963088
8.0,2025-05-23T16:52:35.259419,2025-04-22T12:43:30,1745325810.0,2.760562,45.8,328.63,vehicle_01,41.83105,29.16,1.0,2025-04-22 12:43:30,167.81321957581812,7.0,86.30394149613504
8.0,2025-05-23T16:52:35.264583,2025-04-22T12:43:37,1745325817.0,2.759706,45.44,339.58,vehicle_01,41.83239,29.87,1.0,2025-04-22 12:43:37,165.0187969509197,7.0,84.866809860473
8.0,2025-05-23T16:52:35.269879,2025-04-22T12:43:44,1745325824.0,2.759105,44.51,347.77,vehicle_01,41.83379,30.47,1.0,2025-04-22 12:43:44,163.44234064631664,7.0,84.05606090382
9.0,2025-05-23T16:52:35.275421,2025-04-22T12:43:51,1745325831.0,2.758891,45.63,357.83,vehicle_01,41.83526,31.28,1.0,2025-04-22 12:43:51,164.41526374676107,7.0,84.55642135547713
9.0,2025-05-23T16:52:35.280536,2025-04-22T12:43:58,1745325838.0,2.758979,44.81,5.33,vehicle_01,41.83669,32.0,1.0,2025-04-22 12:43:58,159.175790926817,7.0,81.8618353337916
9.0,2025-05-23T16:52:35.285937,2025-04-22T12:44:05,1745325845.0,2.759288,44.25,10.98,vehicle_01,41.8381,32.73,1.0,2025-04-22 12:44:05,158.8609406971198,7.0,81.69991235851874
9.0,2025-05-23T16:52:35.291167,2025-04-22T12:44:12,1745325852.0,2.759719,45.88,11.91,vehicle_01,41.83957,33.47,1.0,2025-04-22 12:44:12,167.31081480347225,7.0,86.0455618989286
9.0,2025-05-23T16:52:35.296528,2025-04-22T12:44:19,1745325859.0,2.760154,47.24,12.55,vehicle_01,41.84103,34.17,1.0,2025-04-22 12:44:19,166.2959656774865,7.0,85.52363949127877
9.0,2025-05-23T16:52:35.301639,2025-04-22T12:44:26,1745325866.0,2.760588,45.91,12.01,vehicle_01,41.84249,34.81,1.0,2025-04-22 12:44:26,166.27785658357476,7.0,85.51432624298131
9.0,2025-05-23T16:52:35.306708,2025-04-22T12:44:33,1745325873.0,2.760984,44.77,13.15,vehicle_01,41.84394,35.42,1.0,2025-04-22 12:44:33,164.5358248969732,7.0,84.61842423272907
